000000000285.jpg,0,68,587,640,bear
000000000285.jpg,0,68,587,640,bear
000000000285.jpg,0,68,587,640,bear
000000000285.jpg,0,68,587,640,bear
000000000285.jpg,0,68,587,640,bear
000000000632.jpg,86,98,192,192,mirror
000000000632.jpg,426,35,565,357,bookshelf
000000000632.jpg,0,282,391,483,bed
000000000139.jpg,475,136,526,174,television
000000000139.jpg,384,172,400,208,person
000000000139.jpg,5,166,153,267,television
000000000139.jpg,240,197,253,213,flower pot
000000000139.jpg,411,156,466,295,person
000000000139.jpg,559,209,640,289,television
000000000139.jpg,360,220,416,319,chair
000000000139.jpg,389,219,440,309,chair
000000000139.jpg,290,217,351,318,chair
000000000139.jpg,210,300,254,328,flower pot
000000000285.jpg,0,68,587,640,bear
000000000632.jpg,476,45,556,83,book shelf
000000000632.jpg,92,105,188,185,mirror
000000000632.jpg,86,98,192,192,mirror
000000000632.jpg,74,98,198,239,mirror
000000000632.jpg,426,35,565,357,book shelf
000000000632.jpg,204,205,232,229,flower pot
000000000632.jpg,429,238,551,289,book shelf
000000000632.jpg,251,232,346,318,chair
000000000632.jpg,3,98,392,479,bed
000000000632.jpg,0,282,391,483,bed
000000000632.jpg,360,306,411,351,flower pot
